timestamp,bch_supply,bch_usd,bch_vol,btc_supply,btc_usd,btc_vol,eth_supply,eth_usd,eth_vol
1537537497.138,17360625.0,487.504996923,496674365.147462,17279875.0,6727.57748245,5668222432.23634,102096180.0,228.74408494,2286717687.59889
1537537557.138,17360625.0,490.097849146,498851886.640327,17279875.0,6726.22194601,5675203643.99051,102096180.0,228.873114111,2289149507.58731
1537537617.138,17360625.0,490.097849146,498851886.640327,17279875.0,6726.22194601,5675203643.99051,102096180.0,228.873114111,2289149507.58731
1537537677.138,17360625.0,490.097849146,498851886.640327,17279875.0,6726.22194601,5675203643.99051,102096180.0,228.873114111,2289149507.58731
1537537737.138,17360625.0,489.175731637,500246180.277192,17279875.0,6729.5612582,5691944658.62827,102096180.0,229.427034155,2297942319.49615
1537537797.138,17360625.0,489.175731637,500246180.277192,17279875.0,6729.5612582,5691944658.62827,102096180.0,229.427034155,2297942319.49615
1537537857.138,17360625.0,489.175731637,500246180.277192,17279875.0,6729.5612582,5691944658.62827,102096180.0,229.427034155,2297942319.49615
1537537917.138,17360625.0,489.711618562,502402143.081003,17279875.0,6753.4229271,5701148900.40555,102096180.0,228.515947743,2298139396.61968
1537537977.138,17360625.0,489.711618562,502402143.081003,17279875.0,6753.4229271,5701148900.40555,102096180.0,228.515947743,2298139396.61968
1537538037.138,17360625.0,489.711618562,502402143.081003,17279875.0,6753.4229271,5701148900.40555,102096180.0,228.515947743,2298139396.61968
1537538097.138,17360625.0,488.825330483,502214323.605831,17279875.0,6769.49729676,5723918449.90065,102096180.0,229.233162017,2311315365.23522
1537538157.138,17360625.0,488.825330483,502214323.605831,17279875.0,6769.49729676,5723918449.90065,102096180.0,229.233162017,2311315365.23522
1537538217.138,17360625.0,488.825330483,502214323.605831,17279875.0,6769.49729676,5723918449.90065,102096180.0,229.233162017,2311315365.23522
1537538277.138,17360625.0,490.037964554,504881157.398868,17279875.0,6749.76611419,5737302675.68807,102096180.0,228.921864786,2314444406.19034
1537538337.138,17360625.0,490.037964554,504881157.398868,17279875.0,6749.76611419,5737302675.68807,102096180.0,228.921864786,2314444406.19034
1537538397.138,17360625.0,490.037964554,504881157.398868,17279875.0,6749.76611419,5737302675.68807,102096180.0,228.921864786,2314444406.19034
1537538457.138,17360638.0,489.907190765,505241107.146148,17279887.0,6748.07153789,5748493149.46289,102096180.0,229.584834746,2318872592.7567
1537538517.138,17360638.0,489.907190765,505241107.146148,17279887.0,6748.07153789,5748493149.46289,102096180.0,229.584834746,2318872592.7567
1537538577.138,17360638.0,489.907190765,505241107.146148,17279887.0,6748.07153789,5748493149.46289,102096180.0,229.584834746,2318872592.7567
1537538637.138,17360638.0,486.501092702,502991109.594971,17279887.0,6745.66921542,5726016981.35741,102096504.0,228.944550573,2319103906.06059
1537538697.138,17360638.0,486.501092702,502991109.594971,17279887.0,6745.66921542,5726016981.35741,102096504.0,228.944550573,2319103906.06059
1537538757.138,17360638.0,486.501092702,502991109.594971,17279887.0,6745.66921542,5726016981.35741,102096504.0,228.944550573,2319103906.06059
1537538817.138,17360638.0,484.284708899,503567444.088951,17279887.0,6745.67907893,5742040033.04606,102096504.0,228.242932036,2311246765.36753
1537538877.138,17360638.0,484.284708899,503567444.088951,17279887.0,6745.67907893,5742040033.04606,102096504.0,228.242932036,2311246765.36753
1537538937.138,17360638.0,484.284708899,503567444.088951,17279887.0,6745.67907893,5742040033.04606,102096504.0,228.242932036,2311246765.36753
1537538997.138,17360638.0,486.488598695,505550255.009782,17279887.0,6744.08103032,5742459507.91765,102096504.0,228.295175519,2312961501.12431
1537539057.138,17360638.0,486.488598695,505550255.009782,17279887.0,6744.08103032,5742459507.91765,102096504.0,228.295175519,2312961501.12431
1537539117.138,17360638.0,486.488598695,505550255.009782,17279887.0,6744.08103032,5742459507.91765,102096504.0,228.295175519,2312961501.12431
1537539177.138,17360638.0,485.346718507,505768917.615959,17279887.0,6738.30155666,5750988548.36819,102096504.0,228.882656557,2319258410.22512
1537539237.138,17360638.0,485.346718507,505768917.615959,17279887.0,6738.30155666,5750988548.36819,102096504.0,228.882656557,2319258410.22512
1537539297.138,17360638.0,485.346718507,505768917.615959,17279887.0,6738.30155666,5750988548.36819,102096504.0,228.882656557,2319258410.22512
1537539357.138,17360638.0,485.794083677,505946728.946787,17279887.0,6731.06117784,5748609950.88654,102096504.0,228.238001544,2317440673.7764
1537539417.138,17360638.0,485.794083677,505946728.946787,17279887.0,6731.06117784,5748609950.88654,102096504.0,228.238001544,2317440673.7764
1537539477.138,17360638.0,485.794083677,505946728.946787,17279887.0,6731.06117784,5748609950.88654,102096504.0,228.238001544,2317440673.7764
1537539537.138,17360638.0,486.397511828,506607053.68279,17279925.0,6722.60013477,5758735692.56593,102096777.0,228.099013749,2318298692.12897
1537539597.138,17360638.0,486.397511828,506607053.68279,17279925.0,6722.60013477,5758735692.56593,102096777.0,228.099013749,2318298692.12897
1537539657.138,17360638.0,486.397511828,506607053.68279,17279925.0,6722.60013477,5758735692.56593,102096777.0,228.099013749,2318298692.12897
